month,pct_options,pct_decision,n_turns
2023-04,0.09957679860592482,0.5476723923325865,20085
2023-05,0.15672287073065283,0.46476437527021186,18504
2023-06,0.27289597205545246,0.5403340246697959,18322
2023-07,0.09731176255929935,0.30409925799781046,16442
2023-08,0.2684563758389262,0.24726245143058992,14155
2023-09,0.10255007862172694,0.21877350105968416,14627
2023-10,0.23920078795553681,0.21809483607710708,14214
2023-11,0.11070791561596655,0.4797343010025217,16259
2023-12,0.10227272727272728,0.7159090909090909,17600
2024-01,0.21655735676277688,0.7301076599430764,16162
2024-02,0.09387782471669014,1.7300341983504324,14913
2024-03,0.3172195021033032,1.0964761050962002,14501
2024-04,0.19571942673148557,1.4963065850116801,15839
