month,pct_options,pct_decision,n_turns
2023-04,0.09979541939024998,0.5139464098597875,20041
2023-05,0.15762582889444504,0.4620067398630286,18398
2023-06,0.2791892344631191,0.4857892679658272,17909
2023-07,0.06255473539346929,0.25647441511322405,15986
2023-08,0.10343553749538234,0.19948282231252307,13535
2023-09,0.10474860335195531,0.22346368715083798,14320
2023-10,0.05753326141675657,0.2229413879899317,13905
2023-11,0.11285266457680251,0.3761755485893417,15950
2023-12,0.06412872383839562,0.588818282516178,17153
2024-01,0.07194715154686376,0.5494146118124141,15289
2024-02,0.08270158511371468,1.6402481047553412,14510
2024-03,0.16875263675994936,1.0125158205596962,14222
2024-04,0.10258383022376098,1.3784702186317883,15597
