month,pct_purchase,n_purchase,n_turns
2023-04,0.17425939756036843,35,20085
2023-05,0.11888678735476899,22,18505
2023-06,0.24559297058341975,45,18323
2023-07,0.1216397031991242,20,16442
2023-08,0.042366897330885465,6,14162
2023-09,0.37599124965818975,55,14628
2023-10,0.08441786844882167,12,14215
2023-11,0.15376099391106463,25,16259
2023-12,0.0908987615043745,16,17602
2024-01,0.1732458854102215,28,16162
2024-02,0.48280024140012073,72,14913
2024-03,0.3585959588993862,52,14501
2024-04,0.2146600164151777,34,15839
