country,n_conversations,n_turns,pct_please,pct_thanks,pct_apology,pct_hedge,pct_greeting
United States,25995,53003,11.442748523668472,2.7375808916476427,1.2961530479406826,1.156538309152312,1.0716374544837084
Russia,7211,15682,3.736768269353399,1.3901288101007525,0.529269225864048,0.5675296518301237,1.5112868256599923
China,7023,10440,54.35823754789272,1.0440613026819923,0.16283524904214558,0.15325670498084293,0.5747126436781609
United Kingdom,5768,13358,7.381344512651594,2.9645156460547986,1.0330887857463693,1.8715376553376253,1.1378948944452763
Hong Kong,5561,9086,46.026854501430776,1.6839093110279553,0.30816640986132515,0.18710103455866167,1.1666299801893023
India,3251,9837,4.228931584832774,1.138558503608824,0.43712513977838774,0.284639625902206,2.958218969197926
France,2973,5283,4.770017035775128,3.558584137800492,1.1735756199129281,1.0978610637895136,1.9117925421162216
Canada,2858,7434,6.429916599408125,1.0088781275221952,0.8743610438525692,0.7667473769168685,1.4931396287328491
Japan,2347,3599,53.93164767991109,1.667129758266185,0.5834954153931647,0.6112809113642679,1.1114198388441234
Germany,2065,4644,11.218776916451336,2.4763135228251505,2.02411714039621,2.1963824289405682,2.691645133505599
Taiwan,1801,2072,74.42084942084942,1.0135135135135136,0.09652509652509653,0.09652509652509653,0.4826254826254826
Philippines,1736,5046,6.5992865636147435,2.8735632183908044,1.0107015457788349,0.5747126436781609,2.279032897344431
Singapore,1626,2703,41.17647058823529,2.9226785053644098,0.22197558268590456,0.4439511653718091,1.7018128005919348
Egypt,1616,4492,6.745325022261799,1.0017809439002672,0.2894033837934105,0.24487978628673196,3.0943900267141586
Australia,1413,4174,10.373742213703881,2.0603737422137036,1.7489218974604697,1.3655965500718734,0.8385241974125539
Morocco,1086,3520,14.829545454545453,1.8181818181818181,0.3693181818181818,0.6818181818181818,2.272727272727273
New Zealand,998,2282,2.4539877300613497,0.3943908851884312,0.0876424189307625,0.8326029798422436,0.6134969325153374
Romania,920,2198,6.5969062784349415,0.13648771610555052,0.3639672429481347,0.3639672429481347,0.6369426751592357
Iran,910,2491,7.426736250501806,3.5728623042954633,0.2810116419108792,0.923323966278603,3.331995182657567
The Netherlands,849,2123,8.949599623174754,2.119642016015073,2.779086198775318,1.1775788977861517,3.532736693358455
